Record Type,Date,Time (system on),Time (system off),Upload (MB),Download (MB),Total (MB),Apps Used,Application,Month
DailyState,2025-05-28,,,42.91,389.41,2.32,,,
DailyState,2025-05-28,,,42.91,389.41,4.25,,,
DailyState,2025-05-28,,,42.91,389.41,34.09,,,
App,2025-05-28,,,549.19,5048.15,,,LockApp.exe,
App,2025-05-28,,,666.18,6068.99,,,Code.exe,
App,2025-05-28,,,3768.07,34402.26,,,svchost.exe,
App,2025-05-28,,,1731.07,15723.88,,,WhatsApp.exe,
App,2025-05-28,,,986.87,9016.32,,,Dropbox.exe,
App,2025-05-28,,,91.53,841.35,,,services.exe,
App,2025-05-28,,,179.17,1638.37,,,NortonSecurity.exe,
App,2025-05-28,,,320.38,2944.85,,,System,
App,2025-05-28,,,6877.75,62473.99,,,chrome.exe,
App,2025-05-28,,,91.53,841.36,,,lsass.exe,
App,2025-05-28,,,45.76,420.66,,,ollama.exe,
App,2025-05-28,,,307.76,2783.26,,,wpscloudsvr.exe,
App,2025-05-28,,,91.53,841.36,,,wininit.exe,
App,2025-05-28,,,91.54,841.37,,,spoolsv.exe,
App,2025-05-28,,,91.54,841.38,,,Bridge_Service.exe,
App,2025-05-28,,,182.32,1673.5,,,SearchApp.exe,
App,2025-05-28,,,183.08,1682.8,,,dasHost.exe,
App,2025-05-28,,,91.01,835.46,,,cloudcode_cli.exe,
App,2025-05-28,,,43.93,395.18,,,smartscreen.exe,
App,2025-05-28,,,45.76,420.66,,,et.exe,
App,2025-05-28,,,45.76,420.66,,,wps.exe,
App,2025-05-28,,,87.4,787.65,,,promecefpluginhost.exe,
App,2025-05-28,,,45.04,412.06,,,SDXHelper.exe,
App,2025-05-28,,,45.48,417.35,,,MpDefenderCoreService.exe,
App,2025-05-28,,,44.21,401.64,,,MsMpEng.exe,
App,2025-05-28,,,44.23,401.92,,,gamingservices.exe,
App,2025-05-28,,,44.74,408.43,,,FileCoAuth.exe,
App,2025-05-28,,,91.06,835.62,,,backgroundTaskHost.exe,
App,2025-05-28,,,91.53,841.36,,,explorer.exe,
DailyState,2025-05-28,,,42.91,389.41,36.4,,,
DailyState,2025-05-28,,,42.91,389.41,38.35,,,
DailyState,2025-05-28,,,42.91,389.41,39.61,,,
DailyState,2025-05-28,,,42.91,389.41,39.67,,,
App,2025-05-28,,,557.02,5110.16,,,LockApp.exe,
App,2025-05-28,,,666.99,6076.67,,,Code.exe,
App,2025-05-28,,,4524.63,41325.99,,,svchost.exe,
App,2025-05-28,,,2522.5,22987.69,,,WhatsApp.exe,
App,2025-05-28,,,1040.33,9498.64,,,Dropbox.exe,
App,2025-05-28,,,92.84,851.69,,,services.exe,
App,2025-05-28,,,226.23,2069.38,,,NortonSecurity.exe,
App,2025-05-28,,,324.93,2980.93,,,System,
App,2025-05-28,,,8269.69,75250.95,,,chrome.exe,
App,2025-05-28,,,92.84,851.69,,,lsass.exe,
App,2025-05-28,,,46.42,425.85,,,ollama.exe,
App,2025-05-28,,,584.56,5326.26,,,wpscloudsvr.exe,
App,2025-05-28,,,92.84,851.69,,,wininit.exe,
App,2025-05-28,,,92.84,851.69,,,spoolsv.exe,
App,2025-05-28,,,92.84,851.69,,,Bridge_Service.exe,
App,2025-05-28,,,184.27,1688.94,,,SearchApp.exe,
App,2025-05-28,,,185.67,1703.39,,,dasHost.exe,
App,2025-05-28,,,91.01,835.46,,,cloudcode_cli.exe,
App,2025-05-28,,,46.32,425.63,,,smartscreen.exe,
App,2025-05-28,,,45.95,422.37,,,et.exe,
App,2025-05-28,,,45.95,422.37,,,wps.exe,
App,2025-05-28,,,89.57,815.97,,,promecefpluginhost.exe,
App,2025-05-28,,,46.42,425.85,,,SDXHelper.exe,
App,2025-05-28,,,46.31,425.62,,,MpDefenderCoreService.exe,
App,2025-05-28,,,44.21,401.64,,,MsMpEng.exe,
App,2025-05-28,,,44.23,401.92,,,gamingservices.exe,
App,2025-05-28,,,44.74,408.43,,,FileCoAuth.exe,
App,2025-05-28,,,91.3,837.66,,,backgroundTaskHost.exe,
App,2025-05-28,,,138.81,1274.87,,,explorer.exe,
DailyState,2025-05-28,,,42.91,389.41,39.95,,,
